Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.114859180270656,69.98026153006094,103.67592479227746,3.469999999999995e-2,0.00047913984327382995,"cx0_14: 2.020e-2 , cx0_1: 1.814e-2 "
1,5.235712554886418,45.25023516164491,53.76805409898835,9.119999999999995e-2,0.0008604609745834319,"cx1_13: 4.550e-2 , cx1_2: 1.225e-2 , cx1_0: 1.814e-2 "
2,5.038464181433173,70.89755801956093,106.42414432309295,2.1100000000000008e-2,0.000580355170220462,"cx2_12: 4.754e-2 , cx2_3: 2.325e-2 , cx2_1: 1.225e-2 "
3,4.8945850860376385,77.75138546914877,17.69018494099613,4.400000000000004e-2,0.00045112002066194986,"cx3_11: 3.490e-2 , cx3_4: 2.141e-2 , cx3_2: 2.325e-2 "
4,5.02158148673324,52.98505321020842,41.486790333157494,3.920000000000001e-2,0.0011563306825893625,"cx4_10: 3.830e-2 , cx4_5: 3.750e-2 , cx4_3: 2.141e-2 "
5,5.073083769139664,18.120577189332582,32.832331975551135,4.139999999999999e-2,0.003127989922955933,"cx5_9: 3.100e-2 , cx5_6: 6.266e-2 , cx5_4: 3.750e-2 "
6,4.929432352078296,73.04188577536499,84.29918814480973,2.7599999999999958e-2,0.0013630583120955388,"cx6_8: 2.713e-2 , cx6_5: 6.266e-2 "
7,4.982616123997634,37.973662497930476,13.424337029854264,4.820000000000002e-2,0.0023423823517248242,"cx7_8: 2.397e-2 "
8,4.751545647881517,77.11387645504529,106.48260535596123,7.939999999999992e-2,0.0005937405275709684,"cx8_6: 2.713e-2 , cx8_9: 2.062e-2 , cx8_7: 2.397e-2 "
9,4.9734467680775625,40.09264345813496,49.47334565475089,8.409999999999995e-2,0.001503807544718148,"cx9_5: 3.100e-2 , cx9_10: 3.684e-2 , cx9_8: 2.062e-2 "
10,4.944788841905159,47.991028739978944,58.64705956313662,3.210000000000002e-2,0.0026570482196692975,"cx10_4: 3.830e-2 , cx10_11: 2.746e-2 , cx10_9: 3.684e-2 "
11,4.997432487604548,46.89934484647505,67.90990369295791,1.8779999999999997e-1,0.0006212307306531102,"cx11_3: 3.490e-2 , cx11_12: 1.791e-2 , cx11_10: 2.746e-2 "
12,4.763380685355105,73.8560879219386,67.64272146091056,1.0509999999999997e-1,0.0007176039232442355,"cx12_2: 4.754e-2 , cx12_13: 2.293e-2 , cx12_11: 1.791e-2 "
13,4.974292329634941,25.70108343547428,30.382130845880695,7.86e-2,0.0021475598074994096,"cx13_14: 3.634e-2 , cx13_1: 4.550e-2 , cx13_12: 2.293e-2 "
14,5.006791384316239,43.52584436200049,54.99978411741082,5.35000000000001e-2,0.0008565036515608036,"cx14_0: 2.020e-2 , cx14_13: 3.634e-2 "
